City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
214,Kodiak,57.79,-152.4072,42.8,87,90,21.85,US,moderate rain
215,Tumut,-35.3,148.2167,42.8,100,93,3.4,AU,overcast clouds
216,Flinders,-34.5833,150.8552,57.99,87,100,2.75,AU,overcast clouds
217,Lompoc,34.6391,-120.4579,63.0,55,1,17.27,US,clear sky
218,Cabo San Lucas,22.8909,-109.9124,78.01,49,20,26.46,MX,few clouds
219,Isangel,-19.55,169.2667,71.6,94,75,15.01,VU,broken clouds
220,Chaman,30.9236,66.4512,76.91,18,21,6.02,PK,few clouds
221,Leh,34.1667,77.5833,36.39,30,88,3.94,IN,overcast clouds
222,Khorramshahr,30.4397,48.1664,87.8,40,40,4.61,IR,scattered clouds
223,Iqaluit,63.7506,-68.5145,23.0,68,1,2.3,CA,clear sky
224,Pandan,14.0453,124.1694,76.96,75,100,4.65,PH,overcast clouds
225,Magdagachi,53.45,125.8,36.79,61,4,3.31,RU,clear sky
226,Benguela,-12.5763,13.4055,79.54,78,8,2.42,AO,clear sky
227,Saldanha,-33.0117,17.9442,62.6,82,86,5.75,ZA,overcast clouds
228,Sioux Lookout,50.1001,-91.917,48.2,57,40,3.44,CA,scattered clouds
229,Cockburn Town,21.4612,-71.1419,78.33,73,0,13.8,TC,clear sky
230,Cherskiy,68.75,161.3,10.98,94,34,6.93,RU,scattered clouds
231,Ixtapa,20.7,-105.2,82.4,69,40,13.8,MX,scattered clouds
232,Norman Wells,65.282,-126.8329,17.6,38,40,4.61,CA,scattered clouds
233,Safaga,26.7292,33.9365,77.0,33,0,19.57,EG,clear sky
234,Anadyr,64.75,177.4833,28.4,100,75,4.47,RU,light snow
235,Kaspiysk,42.8816,47.6392,53.6,87,40,11.18,RU,scattered clouds
236,Elmadag,39.9208,33.2308,57.2,58,0,4.61,TR,clear sky
237,Fujin,47.26,132.0322,51.46,92,100,8.99,CN,overcast clouds
238,Skelleftea,64.7507,20.9528,35.6,60,75,4.61,SE,broken clouds
239,Esperance,-33.8667,121.9,53.6,100,75,5.75,AU,broken clouds
